StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        1236.0     0.0         
C1         c          45.0       68.0       10.0       0.0        1127.0     90.0       
C2         c          45.0       70.0       30.0       0.0        1125.0     90.0       
C3         c          42.0       66.0       10.0       0.0        1129.0     90.0       
C4         c          42.0       68.0       10.0       584.0      656.0      90.0       
C5         c          42.0       65.0       10.0       0.0        1130.0     90.0       
C6         c          40.0       69.0       20.0       0.0        1127.0     90.0       
C7         c          40.0       66.0       20.0       0.0        1130.0     90.0       
C8         c          38.0       68.0       20.0       1057.0     1125.0     90.0       
C9         c          38.0       70.0       10.0       0.0        1125.0     90.0       
C10        c          35.0       66.0       10.0       779.0      845.0      90.0       
C11        c          35.0       69.0       10.0       0.0        1126.0     90.0       
C12        c          25.0       85.0       20.0       176.0      228.0      90.0       
C13        c          22.0       75.0       30.0       0.0        1115.0     90.0       
C14        c          22.0       85.0       10.0       0.0        1106.0     90.0       
C15        c          20.0       80.0       40.0       0.0        1109.0     90.0       
C16        c          20.0       85.0       40.0       358.0      416.0      90.0       
C17        c          18.0       75.0       20.0       0.0        1112.0     90.0       
C18        c          15.0       75.0       20.0       0.0        1110.0     90.0       
C19        c          15.0       80.0       10.0       0.0        1106.0     90.0       
C20        c          30.0       50.0       10.0       0.0        1136.0     90.0       
C21        c          30.0       52.0       20.0       0.0        1135.0     90.0       
C22        c          28.0       52.0       20.0       0.0        1133.0     90.0       
C23        c          28.0       55.0       10.0       0.0        1133.0     90.0       
C24        c          25.0       50.0       10.0       0.0        1131.0     90.0       
C25        c          25.0       52.0       40.0       0.0        1130.0     90.0       
C26        c          25.0       55.0       10.0       0.0        1130.0     90.0       
C27        c          23.0       52.0       10.0       263.0      311.0      90.0       
C28        c          23.0       55.0       20.0       0.0        1128.0     90.0       
C29        c          20.0       50.0       10.0       0.0        1126.0     90.0       
C30        c          20.0       55.0       10.0       0.0        1125.0     90.0       
C31        c          10.0       35.0       20.0       0.0        1112.0     90.0       
C32        c          10.0       40.0       30.0       0.0        1114.0     90.0       
C33        c          8.0        40.0       40.0       355.0      437.0      90.0       
C34        c          8.0        45.0       20.0       0.0        1113.0     90.0       
C35        c          5.0        35.0       10.0       655.0      725.0      90.0       
C36        c          5.0        45.0       10.0       0.0        1110.0     90.0       
C37        c          2.0        40.0       20.0       0.0        1106.0     90.0       
C38        c          0.0        40.0       30.0       472.0      532.0      90.0       
C39        c          0.0        45.0       20.0       0.0        1105.0     90.0       
C40        c          35.0       30.0       10.0       0.0        1125.0     90.0       
C41        c          35.0       32.0       10.0       0.0        1127.0     90.0       
C42        c          33.0       32.0       20.0       0.0        1126.0     90.0       
C43        c          33.0       35.0       10.0       789.0      849.0      90.0       
C44        c          32.0       30.0       10.0       0.0        1124.0     90.0       
C45        c          30.0       30.0       10.0       0.0        1123.0     90.0       
