Name;Number of Customers;Duration;isSolved;Gap;with SVs;Objective;isInfeasible;isFreight;isFuel;Date
N6-C_DV100-C_SV30_F6_0_No_1;6;0,09;WAHR;0,00;FALSCH;3171,47;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:25
N6-C_DV100-C_SV30_F6_1_No_1;6;0,16;WAHR;0,00;FALSCH;2147,12;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:25
N6-C_DV100-C_SV30_F6_10_No_1;6;0,16;WAHR;0,00;FALSCH;2156,77;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_11_No_1;6;0,15;WAHR;0,00;FALSCH;2136,83;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_12_No_1;6;0,06;WAHR;0,00;FALSCH;3203,10;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_13_No_1;6;0,01;WAHR;0,00;FALSCH;3194,91;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_14_No_1;6;0,15;WAHR;0,00;FALSCH;2161,50;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_2_No_1;6;0,22;WAHR;0,00;FALSCH;2111,27;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_3_No_1;6;0,09;WAHR;0,00;FALSCH;2131,88;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:26
N6-C_DV100-C_SV30_F6_4_No_1;6;0,24;WAHR;0,00;FALSCH;2130,94;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:27
N6-C_DV100-C_SV30_F6_5_No_1;6;0,57;WAHR;0,00;FALSCH;2093,41;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:27
N6-C_DV100-C_SV30_F6_6_No_1;6;0,14;WAHR;0,00;FALSCH;3171,15;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:27
N6-C_DV100-C_SV30_F6_7_No_1;6;0,08;WAHR;0,00;FALSCH;2127,95;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:27
N6-C_DV100-C_SV30_F6_8_No_1;6;0,14;WAHR;0,00;FALSCH;2118,19;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:28
N6-C_DV100-C_SV30_F6_9_No_1;6;0,23;WAHR;0,00;FALSCH;3179,03;FALSCH;FALSCH;FALSCH;2015.06.21 - 19:09:28
N6-C_DV100-C_SV30_F6_0_No_1;6;0,47;WAHR;0,00;WAHR;2173,70;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:40
N6-C_DV100-C_SV30_F6_1_No_1;6;0,34;WAHR;0,00;FALSCH;2147,12;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:40
N6-C_DV100-C_SV30_F6_10_No_1;6;0,48;WAHR;0,00;FALSCH;2156,77;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:41
N6-C_DV100-C_SV30_F6_11_No_1;6;0,23;WAHR;0,00;FALSCH;2136,83;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:41
N6-C_DV100-C_SV30_F6_12_No_1;6;0,47;WAHR;0,00;FALSCH;3203,10;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:42
N6-C_DV100-C_SV30_F6_13_No_1;6;0,36;WAHR;0,00;FALSCH;3194,91;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:42
N6-C_DV100-C_SV30_F6_14_No_1;6;0,21;WAHR;0,00;FALSCH;2161,50;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:42
N6-C_DV100-C_SV30_F6_2_No_1;6;0,28;WAHR;0,00;FALSCH;2111,27;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:43
N6-C_DV100-C_SV30_F6_3_No_1;6;0,33;WAHR;0,00;FALSCH;2131,88;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:43
N6-C_DV100-C_SV30_F6_4_No_1;6;0,36;WAHR;0,00;FALSCH;2130,94;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:43
N6-C_DV100-C_SV30_F6_5_No_1;6;0,34;WAHR;0,00;FALSCH;2093,41;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:44
N6-C_DV100-C_SV30_F6_6_No_1;6;0,48;WAHR;0,00;FALSCH;3171,15;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:44
N6-C_DV100-C_SV30_F6_7_No_1;6;0,10;WAHR;0,00;FALSCH;2127,95;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:44
N6-C_DV100-C_SV30_F6_8_No_1;6;0,25;WAHR;0,00;FALSCH;2118,19;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:45
N6-C_DV100-C_SV30_F6_9_No_1;6;0,94;WAHR;0,00;FALSCH;3179,03;FALSCH;FALSCH;WAHR;2015.06.21 - 19:09:46
N14-C_DV100-C_SV30_F6_9_No_1;14;20,04;WAHR;0,00;FALSCH;3248,15;FALSCH;FALSCH;FALSCH;2015.06.23 - 15:14:16
N14-C_DV100-C_SV30_F6_0_No_1;14;39,20;WAHR;0,00;FALSCH;4270,83;FALSCH;FALSCH;FALSCH;2015.06.23 - 15:15:40
