//V	Name	X	Y	st	e	l	Demand
Depot	0	40.0	50.0	0	0.0	1236.0	0
Vertice	1	45.0	68.0	90.0	0.0	1127.0	10
Vertice	2	45.0	70.0	90.0	0.0	1125.0	30
Vertice	3	42.0	66.0	90.0	0.0	1129.0	10
Vertice	4	42.0	68.0	90.0	584.0	656.0	10
Vertice	5	42.0	65.0	90.0	0.0	1130.0	10
Vertice	6	40.0	69.0	90.0	0.0	1127.0	20
Vertice	7	40.0	66.0	90.0	0.0	1130.0	20
Vertice	8	38.0	68.0	90.0	1057.0	1125.0	20
Vertice	9	38.0	70.0	90.0	0.0	1125.0	10
Vertice	10	35.0	66.0	90.0	779.0	845.0	10
Vertice	11	35.0	69.0	90.0	0.0	1126.0	10
Vertice	12	25.0	85.0	90.0	176.0	228.0	20
Vertice	13	22.0	75.0	90.0	0.0	1115.0	30
Vertice	14	22.0	85.0	90.0	0.0	1106.0	10
Vertice	15	20.0	80.0	90.0	0.0	1109.0	40
Vertice	16	20.0	85.0	90.0	358.0	416.0	40
Vertice	17	18.0	75.0	90.0	0.0	1112.0	20
Vertice	18	15.0	75.0	90.0	0.0	1110.0	20
Vertice	19	15.0	80.0	90.0	0.0	1106.0	10
Vertice	20	30.0	50.0	90.0	0.0	1136.0	10
Vertice	21	30.0	52.0	90.0	0.0	1135.0	20
Vertice	22	28.0	52.0	90.0	0.0	1133.0	20
Vertice	23	28.0	55.0	90.0	0.0	1133.0	10
Vertice	24	25.0	50.0	90.0	0.0	1131.0	10
Vertice	25	25.0	52.0	90.0	0.0	1130.0	40
Vertice	26	25.0	55.0	90.0	0.0	1130.0	10
Vertice	27	23.0	52.0	90.0	263.0	311.0	10
Vertice	28	23.0	55.0	90.0	0.0	1128.0	20
Vertice	29	20.0	50.0	90.0	0.0	1126.0	10
Vertice	30	20.0	55.0	90.0	0.0	1125.0	10
Vertice	31	10.0	35.0	90.0	0.0	1112.0	20
Vertice	32	10.0	40.0	90.0	0.0	1114.0	30
Vertice	33	8.0	40.0	90.0	355.0	437.0	40
Vertice	34	8.0	45.0	90.0	0.0	1113.0	20
Vertice	35	5.0	35.0	90.0	655.0	725.0	10
Vertice	36	5.0	45.0	90.0	0.0	1110.0	10
Vertice	37	2.0	40.0	90.0	0.0	1106.0	20
Vertice	38	0.0	40.0	90.0	472.0	532.0	30
Vertice	39	0.0	45.0	90.0	0.0	1105.0	20
Vertice	40	35.0	30.0	90.0	0.0	1125.0	10
Vertice	41	35.0	32.0	90.0	0.0	1127.0	10
Vertice	42	33.0	32.0	90.0	0.0	1126.0	20
Vertice	43	33.0	35.0	90.0	789.0	849.0	10
Vertice	44	32.0	30.0	90.0	0.0	1124.0	10
Vertice	45	30.0	30.0	90.0	0.0	1123.0	10
Vertice	46	30.0	32.0	90.0	0.0	1125.0	30
Vertice	47	30.0	35.0	90.0	0.0	1127.0	10
Vertice	48	28.0	30.0	90.0	0.0	1122.0	10
Vertice	49	28.0	35.0	90.0	1011.0	1073.0	10
Vertice	50	26.0	32.0	90.0	0.0	1123.0	10
Vertice	51	25.0	30.0	90.0	0.0	1121.0	10
Vertice	52	25.0	35.0	90.0	0.0	1124.0	10
Vertice	53	44.0	5.0	90.0	0.0	1100.0	20
Vertice	54	42.0	10.0	90.0	810.0	868.0	40
Vertice	55	42.0	15.0	90.0	905.0	963.0	10
Vertice	56	40.0	5.0	90.0	0.0	1101.0	30
Vertice	57	40.0	15.0	90.0	0.0	1111.0	40
Vertice	58	38.0	5.0	90.0	0.0	1100.0	30
Vertice	59	38.0	15.0	90.0	66.0	124.0	10
Vertice	60	35.0	5.0	90.0	0.0	1100.0	20
Vertice	61	50.0	30.0	90.0	980.0	1064.0	10
Vertice	62	50.0	35.0	90.0	0.0	1127.0	20
Vertice	63	50.0	40.0	90.0	0.0	1131.0	50
Vertice	64	48.0	30.0	90.0	0.0	1124.0	10
Vertice	65	48.0	40.0	90.0	0.0	1133.0	10
Vertice	66	47.0	35.0	90.0	0.0	1129.0	10
Vertice	67	47.0	40.0	90.0	0.0	1133.0	10
Vertice	68	45.0	30.0	90.0	0.0	1125.0	10
Vertice	69	45.0	35.0	90.0	0.0	1130.0	10
Vertice	70	95.0	30.0	90.0	390.0	444.0	30
Vertice	71	95.0	35.0	90.0	0.0	1088.0	20
Vertice	72	53.0	30.0	90.0	0.0	1122.0	10
Vertice	73	92.0	30.0	90.0	0.0	1090.0	10
Vertice	74	53.0	35.0	90.0	78.0	142.0	50
Vertice	75	45.0	65.0	90.0	0.0	1130.0	20
Vertice	76	90.0	35.0	90.0	575.0	639.0	10
Vertice	77	88.0	30.0	90.0	0.0	1094.0	10
Vertice	78	88.0	35.0	90.0	0.0	1095.0	20
Vertice	79	87.0	30.0	90.0	0.0	1094.0	10
Vertice	80	85.0	25.0	90.0	0.0	1094.0	10
Vertice	81	85.0	35.0	90.0	761.0	823.0	30
Vertice	82	75.0	55.0	90.0	459.0	529.0	20
Vertice	83	72.0	55.0	90.0	0.0	1113.0	10
Vertice	84	70.0	58.0	90.0	0.0	1114.0	20
Vertice	85	68.0	60.0	90.0	0.0	1116.0	30
Vertice	86	66.0	55.0	90.0	0.0	1119.0	10
Vertice	87	65.0	55.0	90.0	0.0	1120.0	20
Vertice	88	65.0	60.0	90.0	0.0	1119.0	30
Vertice	89	63.0	58.0	90.0	0.0	1121.0	10
Vertice	90	60.0	55.0	90.0	0.0	1125.0	10
Vertice	91	60.0	60.0	90.0	0.0	1123.0	10
Vertice	92	67.0	85.0	90.0	459.0	519.0	20
Vertice	93	65.0	85.0	90.0	0.0	1102.0	40
Vertice	94	65.0	82.0	90.0	0.0	1105.0	10
Vertice	95	62.0	80.0	90.0	0.0	1108.0	30
Vertice	96	60.0	80.0	90.0	177.0	243.0	10
Vertice	97	60.0	85.0	90.0	645.0	707.0	30
Vertice	98	58.0	75.0	90.0	0.0	1115.0	20
Vertice	99	55.0	80.0	90.0	836.0	896.0	10
Vertice	100	55.0	85.0	90.0	744.0	798.0	20

//Arc	From	To	Dist	t	f
Arc	88	99	22.36	22.36	22.36
Arc	88	89	2.83	2.83	2.83
Arc	88	100	26.93	26.93	26.93
Arc	88	90	7.07	7.07	7.07
Arc	88	91	5.0	5.0	5.0
Arc	88	92	25.08	25.08	25.08
Arc	88	93	25.0	25.0	25.0
Arc	88	94	22.0	22.0	22.0
Arc	88	95	20.22	20.22	20.22
Arc	88	96	20.62	20.62	20.62
Arc	88	97	25.5	25.5	25.5
Arc	88	98	16.55	16.55	16.55
Arc	89	99	23.41	23.41	23.41
Arc	89	100	28.16	28.16	28.16
Arc	89	90	4.24	4.24	4.24
Arc	89	91	3.61	3.61	3.61
Arc	89	92	27.29	27.29	27.29
Arc	89	93	27.07	27.07	27.07
Arc	89	94	24.08	24.08	24.08
Arc	89	95	22.02	22.02	22.02
Arc	89	96	22.2	22.2	22.2
Arc	89	97	27.17	27.17	27.17
Arc	89	98	17.72	17.72	17.72
Arc	90	99	25.5	25.5	25.5
Arc	90	100	30.41	30.41	30.41
Arc	90	91	5.0	5.0	5.0
Arc	90	92	30.81	30.81	30.81
Arc	90	93	30.41	30.41	30.41
Arc	90	94	27.46	27.46	27.46
Arc	90	95	25.08	25.08	25.08
Arc	90	96	25.0	25.0	25.0
Arc	90	97	30.0	30.0	30.0
Arc	90	98	20.1	20.1	20.1
Arc	91	99	20.62	20.62	20.62
Arc	91	100	25.5	25.5	25.5
Arc	91	92	25.96	25.96	25.96
Arc	91	93	25.5	25.5	25.5
Arc	91	94	22.56	22.56	22.56
Arc	91	95	20.1	20.1	20.1
Arc	91	96	20.0	20.0	20.0
Arc	91	97	25.0	25.0	25.0
Arc	91	98	15.13	15.13	15.13
Arc	92	99	13.0	13.0	13.0
Arc	92	100	12.0	12.0	12.0
Arc	92	93	2.0	2.0	2.0
Arc	92	94	3.61	3.61	3.61
Arc	92	95	7.07	7.07	7.07
Arc	92	96	8.6	8.6	8.6
Arc	92	97	7.0	7.0	7.0
Arc	92	98	13.45	13.45	13.45
Arc	93	99	11.18	11.18	11.18
Arc	93	100	10.0	10.0	10.0
Arc	93	94	3.0	3.0	3.0
Arc	93	95	5.83	5.83	5.83
Arc	93	96	7.07	7.07	7.07
Arc	93	97	5.0	5.0	5.0
Arc	93	98	12.21	12.21	12.21
Arc	94	99	10.2	10.2	10.2
Arc	94	100	10.44	10.44	10.44
Arc	94	95	3.61	3.61	3.61
Arc	94	96	5.39	5.39	5.39
Arc	94	97	5.83	5.83	5.83
Arc	94	98	9.9	9.9	9.9
Arc	95	99	7.0	7.0	7.0
Arc	95	100	8.6	8.6	8.6
Arc	95	96	2.0	2.0	2.0
Arc	95	97	5.39	5.39	5.39
Arc	95	98	6.4	6.4	6.4
Arc	96	99	5.0	5.0	5.0
Arc	96	100	7.07	7.07	7.07
Arc	96	97	5.0	5.0	5.0
Arc	96	98	5.39	5.39	5.39
Arc	97	99	7.07	7.07	7.07
Arc	97	100	5.0	5.0	5.0
